PK,date,day_of_week,day,week,month,quarter,year
1,2018-04-10,Tuesday,2,15,4,2,2018
2,2018-04-11,Wednesday,3,15,4,2,2018
3,2018-04-12,Thursday,4,15,4,2,2018
4,2018-04-13,Friday,5,15,4,2,2018
5,2018-04-14,Saturday,6,15,4,2,2018
6,2018-04-15,Sunday,7,15,4,2,2018
7,2018-04-16,Monday,1,16,4,2,2018
8,2018-04-17,Tuesday,2,16,4,2,2018
